sample	group	replicate
Cerebellum_1	CNS	Cerebellum
Cerebellum_2	CNS	Cerebellum
Cerebellum_3	CNS	Cerebellum
Cortex_1	CNS	Cortex
Cortex_2	CNS	Cortex
Cortex_3	CNS	Cortex
Medulla_oblongata_1	CNS	Medulla
Medulla_oblongata_2	CNS	Medulla
Medulla_oblongata_3	CNS	Medulla
Spinal_cord_1	CNS	Spinal
Spinal_cord_2	CNS	Spinal
Spinal_cord_3	CNS	Spinal
Tibialis_1	Tibia	Tibia
Tibialis_2	Tibia	Tibia
Tibialis_3	Tibia	Tibia
Heart_1	Heart	Heart
Heart_2	Heart	Heart
Heart_3	Heart	Heart
Liver_1	Liver	Liver
Liver_2	Liver	Liver
Liver_3	Liver	Liver
